Date,Holiday
2026-01-03,Saturday
2026-01-04,Sunday
2026-01-10,Saturday
2026-01-11,Sunday
2026-01-15,Municipal Corporation Election in Maharashtra
2026-01-17,Saturday
2026-01-18,Sunday
2026-01-24,Saturday
2026-01-25,Sunday
2026-01-26,Republic Day
2026-01-31,Saturday
2026-02-01,Sunday
2026-02-07,Saturday
2026-02-08,Sunday
2026-02-14,Saturday
2026-02-15,Mahashivratri
2026-02-21,Saturday
2026-02-22,Sunday
2026-02-28,Saturday
2026-03-01,Sunday
2026-03-03,Holi
2026-03-07,Saturday
2026-03-08,Sunday
2026-03-14,Saturday
2026-03-15,Sunday
2026-03-21,Id-Ul-Fitr (Ramadan Eid)
2026-03-22,Sunday
2026-03-26,Shri Ram Navami
2026-03-28,Saturday
2026-03-29,Sunday
2026-03-31,Shri Mahavir Jayanti
2026-04-03,Good Friday
2026-04-04,Saturday
2026-04-05,Sunday
2026-04-11,Saturday
2026-04-12,Sunday
2026-04-14,Dr. Baba Saheb Ambedkar Jayanti
2026-04-18,Saturday
2026-04-19,Sunday
2026-04-25,Saturday
2026-04-26,Sunday
2026-05-01,Maharashtra Day
2026-05-02,Saturday
2026-05-03,Sunday
2026-05-09,Saturday
2026-05-10,Sunday
2026-05-16,Saturday
2026-05-17,Sunday
2026-05-23,Saturday
2026-05-24,Sunday
2026-05-28,Bakri Id
2026-05-30,Saturday
2026-05-31,Sunday
2026-06-06,Saturday
2026-06-07,Sunday
2026-06-13,Saturday
2026-06-14,Sunday
2026-06-20,Saturday
2026-06-21,Sunday
2026-06-26,Muharram
2026-06-27,Saturday
2026-06-28,Sunday
2026-07-04,Saturday
2026-07-05,Sunday
2026-07-11,Saturday
2026-07-12,Sunday
2026-07-18,Saturday
2026-07-19,Sunday
2026-07-25,Saturday
2026-07-26,Sunday
2026-08-01,Saturday
2026-08-02,Sunday
2026-08-08,Saturday
2026-08-09,Sunday
2026-08-15,Independence Day
2026-08-16,Sunday
2026-08-22,Saturday
2026-08-23,Sunday
2026-08-29,Saturday
2026-08-30,Sunday
2026-09-05,Saturday
2026-09-06,Sunday
2026-09-12,Saturday
2026-09-13,Sunday
2026-09-14,Ganesh Chaturthi
2026-09-19,Saturday
2026-09-20,Sunday
2026-09-26,Saturday
2026-09-27,Sunday
2026-10-02,Mahatma Gandhi Jayanti
2026-10-03,Saturday
2026-10-04,Sunday
2026-10-10,Saturday
2026-10-11,Sunday
2026-10-17,Saturday
2026-10-18,Sunday
2026-10-20,Dussehra
2026-10-24,Saturday
2026-10-25,Sunday
2026-10-31,Saturday
2026-11-01,Sunday
2026-11-07,Saturday
2026-11-08,Diwali Laxmi Pujan
2026-11-10,Diwali-Balipratipada
2026-11-14,Saturday
2026-11-15,Sunday
2026-11-21,Saturday
2026-11-22,Sunday
2026-11-24,Prakash Gurpurb Sri Guru Nanak Dev
2026-11-28,Saturday
2026-11-29,Sunday
2026-12-05,Saturday
2026-12-06,Sunday
2026-12-12,Saturday
2026-12-13,Sunday
2026-12-19,Saturday
2026-12-20,Sunday
2026-12-25,Christmas
2026-12-26,Saturday
2026-12-27,Sunday
