Ticker,Status,Rows,EarliestDate,LatestDate,MissingValues,ErrorMessage
360ONE,Downloaded,1371,2021-01-01,2026-07-17,0,
3MINDIA,Downloaded,1370,2021-01-01,2026-07-17,0,
ABB,Downloaded,1372,2021-01-01,2026-07-17,0,
ACC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ACMESOLAR,Downloaded,417,2024-11-13,2026-07-17,0,
AIAENG,Downloaded,1370,2021-01-01,2026-07-17,0,
APLAPOLLO,Downloaded,1372,2021-01-01,2026-07-17,0,
AUBANK,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
AWL,Downloaded,1099,2022-02-08,2026-07-17,0,
AADHARHFC,Downloaded,542,2024-05-15,2026-07-17,0,
AARTIIND,Downloaded,1372,2021-01-01,2026-07-17,0,
AAVAS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ABBOTINDIA,Downloaded,1372,2021-01-01,2026-07-17,0,
ACE,Downloaded,1372,2021-01-01,2026-07-17,0,
ACUTAAS,Downloaded,1200,2021-09-14,2026-07-17,0,
ADANIENSOL,Downloaded,1372,2021-01-01,2026-07-17,0,
ADANIENT,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ADANIGREEN,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ADANIPORTS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ADANIPOWER,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ATGL,Downloaded,1372,2021-01-01,2026-07-17,0,
ABCAPITAL,Downloaded,1372,2021-01-01,2026-07-17,0,
ABFRL,Downloaded,1372,2021-01-01,2026-07-17,0,
ABLBL,Downloaded,267,2025-06-24,2026-07-17,0,
ABREL,Downloaded,1372,2021-01-01,2026-07-17,0,
ABSLAMC,Downloaded,1181,2021-10-11,2026-07-17,0,
CPPLUS,Downloaded,237,2025-08-05,2026-07-17,0,
AEGISLOG,Downloaded,1370,2021-01-01,2026-07-17,0,
AEGISVOPAK,Downloaded,283,2025-06-02,2026-07-17,0,
AFCONS,Downloaded,424,2024-11-04,2026-07-17,0,
AFFLE,Downloaded,1372,2021-01-01,2026-07-17,0,
