Ticker,Signal Date,Entry Date,Exit Date,Entry Price,Exit Price,Highest High,Lowest Low,MFE (%),MAE (%),Day MFE occurred,Day MAE occurred,Final Return (%)
BEML,2024-08-06,2024-08-07,2024-08-14,2012.4278564453125,1795.377685546875,2051.168234060789,1779.8863994723365,1.9250567165128727,-11.555269235028863,1,5,-10.785488294811616
LICHSGFIN,2024-08-07,2024-08-08,2024-08-16,620.629150390625,638.3267211914062,640.3146619226909,607.3922532093691,3.171863828773722,-2.1328191195860846,5,2,2.8515532648832833
AAVAS,2024-10-04,2024-10-07,2024-10-14,1727.300048828125,1728.050048828125,1814.949951171875,1690.0,5.074387765068118,-2.1594423535986675,5,0,0.04342036581940887
NATIONALUM,2024-10-04,2024-10-07,2024-10-14,198.07456970214844,208.83135986328125,214.26045853643103,184.3497266662388,8.17161378092194,-6.929129295369996,5,1,5.430677031033397
MPHASIS,2024-10-04,2024-10-07,2024-10-14,2818.138671875,2904.561767578125,2920.640555975935,2785.490850107992,3.6372193151424024,-1.1584888313989943,0,1,3.066672927263188
MOIL,2024-10-04,2024-10-07,2024-10-14,349.79412841796875,367.9752807617188,378.1296643505257,345.0554086374889,8.100632237799834,-1.354716787817998,0,1,5.197672249668357
MIDHANI,2024-10-04,2024-10-07,2024-10-14,363.8123779296875,373.7607421875,385.997259843692,358.7386965349887,6.09789090746442,-1.3945873484489717,0,0,2.7344765767522015
MAXHEALTH,2024-10-04,2024-10-07,2024-10-14,915.34375,946.1581420898438,977.1723535514172,910.9487972065028,6.754686810437854,-0.48014232833262566,2,0,3.36642841444471
M&M,2024-10-04,2024-10-07,2024-10-14,3035.81005859375,3129.755126953125,3194.6340872194346,2959.126093654679,5.231685301789111,-2.5259803300932617,3,0,3.0945634458729048
LTTS,2024-10-04,2024-10-07,2024-10-14,5062.25048828125,5192.79638671875,5210.012250461779,4926.540589279532,2.9188947193069033,-2.680821490676473,5,0,2.5788115135690037
KIOCL,2024-10-04,2024-10-07,2024-10-14,347.1499938964844,377.1499938964844,388.0,342.20001220703125,11.767249552565618,-1.4258913370250974,2,1,8.64179764581693
IRFC,2024-10-04,2024-10-07,2024-10-14,139.9888153076172,146.77731323242188,150.9861775931885,137.23460368921317,7.855886387355487,-1.9674511941198989,2,1,4.849314504081889
IOLCP,2024-10-04,2024-10-07,2024-10-14,84.20655059814453,83.58251190185547,89.01361772659116,82.28567461428472,5.7086617303530245,-2.28114792758432,0,5,-0.7410809394950005
INOXWIND,2024-10-04,2024-10-07,2024-10-14,208.13999938964844,214.8600006103516,229.4499969482422,204.0,10.238300000520502,-1.9890455471262651,2,1,3.2285967331646703
HUDCO,2024-10-04,2024-10-07,2024-10-14,201.4839324951172,214.5994415283203,222.80020844998936,197.89130848471476,10.57964061496008,-1.7830821375741692,2,0,6.509456546129785
HOMEFIRST,2024-10-04,2024-10-07,2024-10-14,1236.1741943359375,1210.802734375,1379.0320925010287,1184.3346017938018,11.556453679396963,-4.193550777848387,2,5,-2.052417861268075
GRSE,2024-10-04,2024-10-07,2024-10-14,1518.4508056640625,1676.302978515625,1765.8908577261716,1481.776564785991,16.295559338446687,-2.4152406348148223,3,0,10.395606644795395
GNFC,2024-10-04,2024-10-07,2024-10-14,610.54345703125,626.007568359375,642.631524701714,600.2984311040076,5.255656628684773,-1.6780174792239282,3,0,2.5328436739489106
GARFIBRES,2024-10-04,2024-10-07,2024-10-14,763.6943359375,794.0501098632812,802.2464394623363,732.5880309337631,5.048106514697441,-4.073135486274264,4,0,3.9748591153968613
GALAXYSURF,2024-10-04,2024-10-07,2024-10-14,2785.870849609375,2883.792724609375,3009.932613308155,2753.5933876975087,8.042790775107077,-1.1586130030540422,3,1,3.514946682245886
