Fold,TrainStart,TrainEnd,TestStart,TestEnd,Trades,WinRate_%,PredictionSuccessRate_%,PortfolioReturn_%,MaxDrawdown_%,Classifier_AUC,Classifier_Precision_75%,Regressor_RMSE
1,2021-03-15,2023-03-14,2023-03-22,2023-06-21,0,,,,,,,
2,2021-06-15,2023-06-14,2023-06-22,2023-09-21,0,,,,,,,
3,2021-09-15,2023-09-14,2023-09-25,2023-12-22,0,,,,,,,
4,2021-12-15,2023-12-14,2023-12-22,2024-03-21,0,,,,,,,
5,2022-03-15,2024-03-14,2024-03-22,2024-06-21,0,,,,,,,
6,2022-06-15,2024-06-14,2024-06-25,2024-09-24,59,50.847457627118644,62.71186440677966,7.254516000154676,-1.2260755800213352,0.5124073467678044,0.4406779661016949,0.04725244517012612
7,2022-09-15,2024-09-13,2024-09-23,2024-12-20,417,60.671462829736214,56.35491606714629,5.396802557257673,-2.4874760724699407,0.5330380328257263,0.39568345323741005,0.05308788621383168
8,2022-12-15,2024-12-13,2024-12-23,2025-03-21,234,49.14529914529914,58.97435897435898,7.792848444547286,-9.07309825907019,0.5387757962695212,0.405982905982906,0.05635874921117685
9,2023-03-15,2025-03-13,2025-03-24,2025-06-23,49,87.75510204081633,83.6734693877551,23.282298727493384,-1.869579494104967,0.5680788381671322,0.7755102040816326,0.049198167540966994
10,2023-06-15,2025-06-13,2025-06-23,2025-09-22,3,66.66666666666666,100.0,0.6249766821862868,-0.7112974013281814,0.5037379002388165,0.6666666666666666,0.03929352252202504
11,2023-09-15,2025-09-12,2025-09-22,2025-12-19,3,100.0,66.66666666666666,1.0503586479266234,-0.4328218282889207,0.5603665163982259,0.6666666666666666,0.03637743147458932
12,2023-12-15,2025-12-12,2025-12-22,2026-03-20,400,19.25,52.25,-1.431282692182911,-10.68363106325626,0.46734374313951876,0.1675,0.05289306517146307
